Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,169.68785095214844,170.8855799305739,168.6553346631324,170.47257341496748,121465900
2015-01-05,166.6233367919922,168.8122661140158,166.3177160273211,168.6470660413276,169632600
2015-01-06,165.0538787841797,167.4493107905881,164.26090097427732,166.92891870896608,209151400
2015-01-07,167.1107177734375,167.44938618869952,165.92952502298357,166.3755665766757,125346700
2015-01-08,170.0760955810547,170.29086705779733,168.4984201081495,168.5149312956221,147217800
2015-01-09,168.713134765625,170.5055812455194,168.10188068241575,170.48905745841736,158567300
2015-01-12,167.3915557861328,169.00229147312052,166.78856973022198,168.84534696175578,144396100
2015-01-13,166.92068481445312,169.72912357347792,165.62383853897953,168.60574554907672,214553300
2015-01-14,165.9129638671875,166.111211515272,164.0213997320499,164.91348263853635,192991100
2015-01-15,164.3931427001953,166.86291398308043,164.277501361906,166.54903755284403,176613900
2015-01-16,166.54901123046875,166.70595572276284,164.0048895862307,164.18661346110187,211879600
2015-01-20,166.9041290283203,167.4493004512187,165.342965483805,167.18497032958777,130991100
2015-01-21,167.7467041015625,168.2257931041972,165.9790369696136,166.441602184859,122942700
2015-01-22,170.24124145507812,170.3733939227786,167.12716970045457,168.49835395998116,174356000
2015-01-23,169.30789184570312,170.24129060330148,169.17572673589194,169.98521597655784,117516800
2015-01-26,169.70443725585938,169.7952992269219,168.3828234814515,169.0931954541324,92009700
2015-01-27,167.46588134765625,168.60577072506626,166.63986834178553,167.6558608098982,134044600
2015-01-28,165.3182373046875,168.74618612993115,165.1282578484053,168.64706860560267,168514300
2015-01-29,166.84632873535156,167.1023906847634,164.11221580090753,165.5164476333486,173585400
2015-01-30,164.748291015625,166.99504739330268,164.48397340858196,165.67343415017112,197729700
2015-02-02,166.7885284423828,166.87939036836673,163.43491798072392,165.24388830461308,163107000
2015-02-03,169.2004852294922,169.20875342530874,167.30892116918625,167.68062446617702,124212900
2015-02-04,168.55624389648438,169.6465873207132,168.10193413638905,168.44060255791106,134306700
2015-02-05,170.2578125,170.40650140888124,169.1427024012078,169.21704055366874,97953200
2015-02-06,169.78701782226562,171.1829821636841,169.26662546674098,170.6212866268706,125672000
2015-02-09,169.02699279785156,169.86126113660566,168.62224201356955,169.1426340785101,87219000
2015-02-10,170.82769775390625,171.08375969418503,169.06828653282952,170.05951193306993,96164200
2015-02-11,170.92686462402344,171.3563949145991,170.01825788329432,170.6625470171787,91087800
2015-02-12,172.5706329345703,172.62845989396322,170.9599101194834,171.719840560346,97545900
2015-02-13,173.28103637695312,173.33059514897005,172.43849944078457,172.69457410280586,93670400
2015-02-17,173.5535888671875,173.72705713986363,172.7193202893553,172.9671141018099,76968200
2015-02-18,173.5701446533203,173.6444828107608,172.9175872163378,173.18191747029533,80652900
2015-02-19,173.44618225097656,173.80962993740306,172.83494078194687,172.97536146007414,91462500
2015-02-20,174.48699951171875,174.56133766054108,172.4136987099765,173.03320849141335,140896400
2015-02-23,174.4622039794922,174.4622039794922,173.85920543986055,174.2391769497112,74411100
2015-02-24,174.95779418945312,175.15604182724803,174.09047810454112,174.38784325925505,72472300
2015-02-25,174.8091278076172,175.3129962204007,174.47045946703403,174.83390718824936,73061700
2015-02-26,174.6026153564453,174.87520113297848,173.99961684898244,174.7182566612815,72697900
2015-02-27,174.00796508789062,174.7678958126595,173.95840630644352,174.50356550632455,108076000
2015-03-02,175.10653686523438,175.1643512332133,174.05749660771215,174.10705538139715,87491400
2015-03-03,174.38780212402344,175.15600051081097,173.52875443746123,174.67691161878352,110325800
2015-03-04,173.65269470214844,173.86746613042823,172.6862610867606,173.7931153877391,114497200
2015-03-05,173.8427276611328,174.12356909840437,173.33885915122326,173.97488018199235,76873000
2015-03-06,171.397705078125,173.41317890386983,171.06730490510006,172.98364859577046,188128000
2015-03-09,172.1080322265625,172.4632116903932,171.43896385686813,171.59590830979997,89818900
2015-03-10,169.31614685058594,170.82775220341048,169.27484367841856,170.74515846303427,157121300
2015-03-11,168.91966247558594,169.74567549502646,168.83705613205854,169.57220721520224,110145700
2015-03-12,171.06727600097656,171.13334594125118,169.497843934388,169.54740269157224,93993500
2015-03-13,170.01824951171875,171.7528691698583,168.9857333090318,170.79470371277253,162410900
2015-03-16,172.28973388671875,172.38059578967432,170.04297828995703,170.74509414042774,136099200
2015-03-17,171.77774047851562,172.15769955834708,170.96823832694477,171.55471334663685,94510400
2015-03-18,173.8427276611328,174.51179627508682,170.67082768526348,171.30686131999258,228808500
2015-03-19,173.04971313476562,173.85094670509045,172.6614860397028,173.4296846377479,117917300
2015-03-20,174.5772247314453,175.08334236742368,173.81390205525543,173.9964371148031,177715100
2015-03-23,174.23696899414062,175.1579363366611,174.23696899414062,174.5854414129031,71784500
2015-03-24,173.2579803466797,174.5688953590549,173.191602819688,174.11257043384242,77805300
2015-03-25,170.71905517578125,173.69768758352507,170.67758030693514,173.46537261303482,159521700
2015-03-26,170.3125762939453,171.2252389858429,169.3584133966899,170.05537123840853,153067200
2015-03-27,170.70249938964844,170.87672931710654,170.0055416991604,170.19638183333447,118939000
2015-03-30,172.7850799560547,173.0837725574656,171.71477218612802,171.73135707604655,96180400
2015-03-31,171.2749786376953,172.66058888963727,171.21690621635824,171.96363121206426,126768700
2015-04-01,170.66929626464844,171.26668130825644,169.6819511881236,171.24179131979093,137303600
2015-04-02,171.28334045410156,171.73137306782849,170.42044500957363,170.60298009744596,86900900
2015-04-06,172.4365692138672,172.95097921240085,170.26275905467685,170.3955014457633,114368200
2015-04-07,171.98020935058594,173.20816176547933,171.94702692216907,172.46143685403993,81236300
2015-04-08,172.5609893798828,173.00072933374554,171.81426450055042,172.20422448381984,89351900
2015-04-09,173.3243865966797,173.5567016665092,171.9056061816652,172.3951263173616,85548900
2015-04-10,174.2702178955078,174.31170543599447,173.37415285413942,173.57327279212356,72722900
2015-04-13,173.48204040527344,174.7597860138336,173.43226041069465,174.12920565524252,74436600
2015-04-14,173.8138885498047,173.99642359516923,172.6606058505757,173.28288096153133,75099900
2015-04-15,174.59381103515625,175.09992867523593,174.1955584748344,174.2785335608359,99529300
2015-04-16,174.54403686523438,175.05015452218305,174.0628092028716,174.26194181977996,68934900
2015-04-17,172.5361328125,173.5981479249098,171.7562126949012,173.35754046703426,191113200
2015-04-20,174.11253356933594,174.44440847380847,173.37410114570088,173.45706354171097,92189500
2015-04-21,173.90516662597656,174.95058431814448,173.60647404818283,174.79293925483387,72559800
2015-04-22,174.7597198486328,174.942254866461,173.32432969387318,174.24529722556355,78264600
2015-04-23,175.19949340820312,175.84665853711883,174.24533060310532,174.36148812213582,102585900
2015-04-24,175.60601806640625,175.87152817072322,175.1579855906446,175.6143231698028,61327400
2015-04-27,174.87586975097656,176.2946496385879,174.68502963866905,176.17019970466308,79358100
2015-04-28,175.43177795410156,175.48155793071655,173.68111036857317,174.8509904598969,86863500
2015-04-29,174.70994567871094,175.30731806756097,173.9051356170558,174.54399554046685,125684900
2015-04-30,172.9593048095703,174.52743764078912,172.2623470377464,174.1374775440112,161304900
2015-05-01,174.83438110351562,174.87586863463142,173.63961110459596,173.73917105110024,103399700
2015-05-04,175.3322296142578,175.9130171469318,175.14969458110048,175.25754698417074,70927200
2015-05-05,173.3243865966797,175.4484299868982,173.1833390657276,175.09165227666028,113326200
2015-05-06,172.6107940673828,174.1789266667018,171.54877900859634,173.8719416972736,135060200
2015-05-07,173.2994842529297,173.72263947585762,172.1793965303919,172.5112715607244,88244900
2015-05-08,175.58111572265625,175.78024828688288,174.8841707381896,174.96714580500512,155877300
2015-05-11,174.7430877685547,175.80510257500316,174.6684178197142,175.5396052034986,75708100
2015-05-12,174.2204132080078,174.75972583742453,173.09202063195485,173.91342824033026,119727600
2015-05-13,174.2535858154297,175.24922321636745,174.02127084388474,174.6269482582543,94667900
2015-05-14,176.07064819335938,176.1619157026827,174.99203562687012,175.26583815484017,95934000
2015-05-15,176.26148986816406,176.40253736481634,175.7802622947641,176.26148986816406,76510100
2015-05-18,176.80911254882812,177.0580124734228,176.02919235784495,176.0955698911435,74549700
2015-05-19,176.75099182128906,177.19903691566,176.46889685681396,176.92523439359275,72114600
2015-05-20,176.6266326904297,177.3733580179938,176.31134247379313,176.85064269256458,76857500
2015-05-21,177.14093017578125,177.34835515256788,176.31952271002848,176.4854728196305,64764600
2015-05-22,176.71783447265625,177.17415941398292,176.65145694332057,176.75930935079924,57433500
2015-05-26,174.8178253173828,176.65146828487644,174.40297522756453,176.22831309072097,124308600
2015-05-27,176.47727966308594,176.70959477163444,174.86765879655425,175.27421656662608,93214000
2015-05-28,176.2781219482422,176.38597437256442,175.5894692165826,176.17025686369877,74974600
2015-05-29,175.1829071044922,176.25321483710226,174.91740961261766,176.2117399535306,124919600
2015-06-01,175.5396728515625,176.17853287368334,174.75144755376922,175.84665786635355,93338800
2015-06-02,175.3653564453125,176.05400882292818,174.4609866697339,175.08326154177297,91531000
2015-06-03,175.83006286621094,176.45233800913786,175.34054279222792,175.89644040068288,87820900
2015-06-04,174.34490966796875,175.78028749043622,174.02961953601317,175.12482989319332,151882800
2015-06-05,174.04624938964844,174.71830466073908,173.3907790105239,174.19558937868064,121704700
2015-06-08,172.97584533691406,174.0876529129266,172.901175378439,173.9383003357597,89063300
2015-06-09,172.95098876953125,173.49030144767775,172.32042123131572,172.95098876953125,105034700
2015-06-10,175.0252227783203,175.40689037129914,173.65622276176234,173.71429518187028,134551300
2015-06-11,175.5894317626953,175.971086709297,175.2326541454266,175.46496915471943,73876400
2015-06-12,174.24530029296875,175.4649603607381,173.97149776140645,174.76801536778927,135382400
2015-06-15,173.4985809326172,173.78067591599498,172.40337077095992,173.1086208896227,124384200
2015-06-16,174.44444274902344,174.52741782155275,173.17500263268036,173.3492325606859,85308200
2015-06-17,174.72654724121094,175.33223745113244,173.7060196267391,174.72654724121094,126708600
2015-06-18,176.54360961914062,177.00823971096892,174.75975923225266,175.32394929798113,165867900
2015-06-19,175.75987243652344,176.37684161534378,175.38469380583308,176.3018084335659,130478700
2015-06-22,176.66033935546875,177.24395207329624,176.4519053332587,176.67701763935042,70696000
2015-06-23,176.78533935546875,177.11884131971792,176.39349522039953,176.86871802698082,68476800
2015-06-24,175.50143432617188,176.89377196974425,175.47642326301445,176.51859330058082,92307300
2015-06-25,174.96780395507812,176.12669626422877,174.8927707826826,176.00164097690288,97107400
2015-06-26,174.93447875976562,175.56811348606794,174.38420999329747,175.3263229424074,104174800
2015-06-29,171.26605224609375,174.9428311592116,171.19101905728778,173.45878205663925,202621300
