Price,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean_30,Rolling_STD_30
Ticker,SPY,SPY,SPY,SPY,SPY,,,
Date,,,,,,,,
2015-01-02,169.68785095214844,170.8855799305739,168.6553346631324,170.47257341496748,121465900,,,
2015-01-05,166.6233367919922,168.8122661140158,166.3177160273211,168.6470660413276,169632600,-0.018059714605145438,,
2015-01-06,165.0538787841797,167.4493107905881,164.26090097427732,166.92891870896608,209151400,-0.009419196842587296,,
2015-01-07,167.1107177734375,167.44938618869952,165.92952502298357,166.3755665766757,125346700,0.012461621649905608,,
2015-01-08,170.0760955810547,170.29086705779733,168.4984201081495,168.5149312956221,147217800,0.017744988754327062,,
2015-01-09,168.713134765625,170.5055812455194,168.10188068241575,170.48905745841736,158567300,-0.008013829402499062,,
2015-01-12,167.3915557861328,169.00229147312052,166.78856973022198,168.84534696175578,144396100,-0.007833290403430171,,
2015-01-13,166.92068481445312,169.72912357347792,165.62383853897953,168.60574554907672,214553300,-0.002812991189838132,,
2015-01-14,165.9129638671875,166.111211515272,164.0213997320499,164.91348263853635,192991100,-0.006037124448571407,,
2015-01-15,164.3931427001953,166.86291398308043,164.277501361906,166.54903755284403,176613900,-0.009160352100085367,,
2015-01-16,166.54901123046875,166.70595572276284,164.0048895862307,164.18661346110187,211879600,0.013114102540183747,,
2015-01-20,166.9041290283203,167.4493004512187,165.342965483805,167.18497032958777,130991100,0.0021322119850963883,,
2015-01-21,167.7467041015625,168.2257931041972,165.9790369696136,166.441602184859,122942700,0.005048257812119372,,
2015-01-22,170.24124145507812,170.3733939227786,167.12716970045457,168.49835395998116,174356000,0.014870857623558997,,
2015-01-23,169.30789184570312,170.24129060330148,169.17572673589194,169.98521597655784,117516800,-0.005482511766229603,,
2015-01-26,169.70443725585938,169.7952992269219,168.3828234814515,169.0931954541324,92009700,0.0023421555004514705,,
2015-01-27,167.46588134765625,168.60577072506626,166.63986834178553,167.6558608098982,134044600,-0.01319090970395842,,
2015-01-28,165.3182373046875,168.74618612993115,165.1282578484053,168.64706860560267,168514300,-0.01282436772007478,,
2015-01-29,166.84632873535156,167.1023906847634,164.11221580090753,165.5164476333486,173585400,0.009243332469410115,,
2015-01-30,164.748291015625,166.99504739330268,164.48397340858196,165.67343415017112,197729700,-0.012574671169747087,,
2015-02-02,166.7885284423828,166.87939036836673,163.43491798072392,165.24388830461308,163107000,0.01238396716700585,,
2015-02-03,169.2004852294922,169.20875342530874,167.30892116918625,167.68062446617702,124212900,0.014461167141615494,,
2015-02-04,168.55624389648438,169.6465873207132,168.10193413638905,168.44060255791106,134306700,-0.003807561970841866,,
2015-02-05,170.2578125,170.40650140888124,169.1427024012078,169.21704055366874,97953200,0.010094960377502238,,
2015-02-06,169.78701782226562,171.1829821636841,169.26662546674098,170.6212866268706,125672000,-0.002765186929289176,,
2015-02-09,169.02699279785156,169.86126113660566,168.62224201356955,169.1426340785101,87219000,-0.004476343563614926,,
2015-02-10,170.82769775390625,171.08375969418503,169.06828653282952,170.05951193306993,96164200,0.010653357349901249,,
2015-02-11,170.92686462402344,171.3563949145991,170.01825788329432,170.6625470171787,91087800,0.0005805081460503736,,
2015-02-12,172.5706329345703,172.62845989396322,170.9599101194834,171.719840560346,97545900,0.009616793206630003,,
2015-02-13,173.28103637695312,173.33059514897005,172.43849944078457,172.69457410280586,93670400,0.004116595218446983,168.2646275838216,
2015-02-17,173.5535888671875,173.72705713986363,172.7193202893553,172.9671141018099,76968200,0.0015728927754186106,168.39348551432292,0.00998753037144393
2015-02-18,173.5701446533203,173.6444828107608,172.9175872163378,173.18191747029533,80652900,9.539293448712627e-05,168.6250457763672,0.009334063272501322
2015-02-19,173.44618225097656,173.80962993740306,172.83494078194687,172.97536146007414,91462500,-0.0007141919630898608,168.90478922526043,0.00911880969623457
2015-02-20,174.48699951171875,174.56133766054108,172.4136987099765,173.03320849141335,140896400,0.006000808130997903,169.15066528320312,0.008930096489250918
2015-02-23,174.4622039794922,174.4622039794922,173.85920543986055,174.2391769497112,74411100,-0.0001421053275942885,169.29686889648437,0.008387271725058466
2015-02-24,174.95779418945312,175.15604182724803,174.09047810454112,174.38784325925505,72472300,0.00284067378868591,169.505024210612,0.008222747387357296
2015-02-25,174.8091278076172,175.3129962204007,174.47045946703403,174.83390718824936,73061700,-0.0008497271157577035,169.7522766113281,0.00805400346037345
2015-02-26,174.6026153564453,174.87520113297848,173.99961684898244,174.7182566612815,72697900,-0.0011813596564542728,170.00834096272786,0.008029501889168213
2015-02-27,174.00796508789062,174.7678958126595,173.95840630644352,174.50356550632455,108076000,-0.003405735173787172,170.2781743367513,0.00795802048138612
2015-03-02,175.10653686523438,175.1643512332133,174.05749660771215,174.10705538139715,87491400,0.00631334190241728,170.63528747558593,0.007733514420547977
2015-03-03,174.38780212402344,175.15600051081097,173.52875443746123,174.67691161878352,110325800,-0.004104556883356647,170.8965805053711,0.007526820835121632
2015-03-04,173.65269470214844,173.86746613042823,172.6862610867606,173.7931153877391,114497200,-0.0042153603229209136,171.1215326944987,0.007599098313643925
2015-03-05,173.8427276611328,174.12356909840437,173.33885915122326,173.97488018199235,76873000,0.001094327728748068,171.3247334798177,0.0075669650077294865
2015-03-06,171.397705078125,173.41317890386983,171.06730490510006,172.98364859577046,188128000,-0.014064566380791232,171.3632822672526,0.007610723224458253
2015-03-09,172.1080322265625,172.4632116903932,171.43896385686813,171.59590830979997,89818900,0.004144321232969483,171.4566202799479,0.007563327280845636
2015-03-10,169.31614685058594,170.82775220341048,169.27484367841856,170.74515846303427,157121300,-0.01622170296097125,171.4436772664388,0.008150349938389357
2015-03-11,168.91966247558594,169.74567549502646,168.83705613205854,169.57220721520224,110145700,-0.002341680828290338,171.49213663736978,0.007779142690337637
2015-03-12,171.06727600097656,171.13334594125118,169.497843934388,169.54740269157224,93993500,0.012713816105931475,171.68377126057942,0.007688234699785183
2015-03-13,170.01824951171875,171.7528691698583,168.9857333090318,170.79470371277253,162410900,-0.0061322452416430195,171.789501953125,0.00764375783529828
2015-03-16,172.28973388671875,172.38059578967432,170.04297828995703,170.74509414042774,136099200,0.01336023857158608,172.04088338216147,0.0075619284603514
2015-03-17,171.77774047851562,172.15769955834708,170.96823832694477,171.55471334663685,94510400,-0.0029717000348944422,172.20719045003256,0.0073169881062001025
2015-03-18,173.8427276611328,174.51179627508682,170.67082768526348,171.30686131999258,228808500,0.012021273401692234,172.36193186442057,0.007174478898431332
2015-03-19,173.04971313476562,173.85094670509045,172.6614860397028,173.4296846377479,117917300,-0.0045616778857323625,172.51171417236327,0.007192938577454363
2015-03-20,174.5772247314453,175.08334236742368,173.81390205525543,173.9964371148031,177715100,0.008827010279353065,172.65569458007812,0.0071405959784790205
2015-03-23,174.23696899414062,175.1579363366611,174.23696899414062,174.5854414129031,71784500,-0.0019490270728504955,172.80402628580728,0.007127850890379992
2015-03-24,173.2579803466797,174.5688953590549,173.191602819688,174.11257043384242,77805300,-0.005618719454961729,172.94505920410157,0.00716047011428696
2015-03-25,170.71905517578125,173.69768758352507,170.67758030693514,173.46537261303482,159521700,-0.01465401573894709,172.94143778483073,0.007450477279590204
2015-03-26,170.3125762939453,171.2252389858429,169.3584133966899,170.05537123840853,153067200,-0.002380981322895659,172.92096150716145,0.007462208148133059
2015-03-27,170.70249938964844,170.87672931710654,170.0055416991604,170.19638183333447,118939000,0.002289455683120778,172.8586903889974,0.007250344578864192
2015-03-30,172.7850799560547,173.0837725574656,171.71477218612802,171.73135707604655,96180400,0.012200059014089382,172.84215850830077,0.007564954631050593
2015-03-31,171.2749786376953,172.66058888963727,171.21690621635824,171.96363121206426,126768700,-0.008739766875377475,172.76620483398438,0.007720533584556472
2015-04-01,170.66929626464844,171.26668130825644,169.6819511881236,171.24179131979093,137303600,-0.0035363155661405354,172.6695098876953,0.0077407555339530565
2015-04-02,171.28334045410156,171.73137306782849,170.42044500957363,170.60298009744596,86900900,0.0035978597374712873,172.5974151611328,0.007777217227737157
2015-04-06,172.4365692138672,172.95097921240085,170.26275905467685,170.3955014457633,114368200,0.006732871724174805,172.52906748453776,0.007799075048277448
2015-04-07,171.98020935058594,173.20816176547933,171.94702692216907,172.46143685403993,81236300,-0.002646537595602738,172.4463343302409,0.007810008110897851
2015-04-08,172.5609893798828,173.00072933374554,171.81426450055042,172.20422448381984,89351900,0.003377016643310027,172.36644083658854,0.007818405291112591
2015-04-09,173.3243865966797,173.5567016665092,171.9056061816652,172.3951263173616,85548900,0.004423926981064641,172.31694946289062,0.00786777627558883
2015-04-10,174.2702178955078,174.31170543599447,173.37415285413942,173.57327279212356,72722900,0.005457000699093939,172.30586954752604,0.007933878521607532
2015-04-13,173.48204040527344,174.7597860138336,173.43226041069465,174.12920565524252,74436600,-0.0045227319949009415,172.28833872477213,0.007952850347390615
2015-04-14,173.8138885498047,173.99642359516923,172.6606058505757,173.28288096153133,75099900,0.0019128674285593394,172.24525044759113,0.007871212516435121
2015-04-15,174.59381103515625,175.09992867523593,174.1955584748344,174.2785335608359,99529300,0.004487112576899044,172.2521174112956,0.00788118309446578
2015-04-16,174.54403686523438,175.05015452218305,174.0628092028716,174.26194181977996,68934900,-0.00028508553439987594,172.28182881673177,0.007840060510368398
2015-04-17,172.5361328125,173.5981479249098,171.7562126949012,173.35754046703426,191113200,-0.011503710403379053,172.23827565511067,0.008122822245032916
2015-04-20,174.11253356933594,174.44440847380847,173.37410114570088,173.45706354171097,92189500,0.009136641300225845,172.32876993815105,0.007859403094561722
2015-04-21,173.90516662597656,174.95058431814448,173.60647404818283,174.79293925483387,72559800,-0.0011909937734424503,172.3886744181315,0.007835684205859773
2015-04-22,174.7597198486328,174.942254866461,173.32432969387318,174.24529722556355,78264600,0.004913903590306523,172.57012685139975,0.007217694880323353
2015-04-23,175.19949340820312,175.84665853711883,174.24533060310532,174.36148812213582,102585900,0.002516446924675897,172.77945454915366,0.007192721634081268
2015-04-24,175.60601806640625,175.87152817072322,175.1579855906446,175.6143231698028,61327400,0.002320352931934222,172.93074595133464,0.0068639268531413495
2015-04-27,174.87586975097656,176.2946496385879,174.68502963866905,176.17019970466308,79358100,-0.00415787752304464,173.09266662597656,0.006803413704821379
2015-04-28,175.43177795410156,175.48155793071655,173.68111036857317,174.8509904598969,86863500,0.0031788731282171856,173.19740142822266,0.006405940416425888
2015-04-29,174.70994567871094,175.30731806756097,173.9051356170558,174.54399554046685,125684900,-0.004114603886528956,173.2951416015625,0.006431400159680731
2015-04-30,172.9593048095703,174.52743764078912,172.2623470377464,174.1374775440112,161304900,-0.010020270238993878,173.26569417317708,0.006338130235589693
